country_name;country_code;internet;secure;export;import;telephone;hightech;mobile
Afghanistan;AFG;8.26;1.41422877708379;72.6527939813295;9.05315416678759;0.343677097495694;;61.5776190975489
Albania;ALB;63.252932696931;37.7271372682853;25.3031685393982;11.1241009857694;7.09162800779861;15123662;106.380206826378
Algeria;DZA;38.2;2.54622796620999;59.2568248942755;58.0120275869752;8.04162795473209;2449466;113.031094272445
American Samoa;ASM;;72.0227591919046;;;18.0056897979762;;
Andorra;ADO;96.91;1631.83063017042;;;47.9925880172946;;88.1235330450896
Angola;AGO;12.4;5.47518752916936;5.42535682669566;;1.24857985954906;;60.8438958128085
Antigua and Barbuda;ATG;65.2;304.951098913067;;;13.0687634771623;0;137.222016510205
Argentina;ARG;69.40092102179;63.293537253072;49.7601889423147;37.910044108342;24.0065013535551;1442450760;143.90779684665
Armenia;ARM;58.2493322231746;49.0437788629266;25.7481353676153;12.0466670327429;18.4436222242962;11067794;115.145509216191
Aruba;ABW;88.661226932496;279.144086476913;14.7648491661982;44.0609137055837;33.6898035403171;1194859;135.721779976706
Australia;AUS;84.560519347399;1460.94584332671;24.1331411064483;31.5155630740937;37.9549457238006;4237456601;132.800509432285
Austria;AUT;83.9263;1500.5072529743;38.6628159108343;45.3951843168786;42.1827625239826;15947437007;157.408263680185
Azerbaijan;AZE;77;16.3707684801368;13.410978342416;56.5148991952012;18.6841305872097;9446115;111.28263171802
Bahamas, The;BHS;78;337.612333416663;9.12375563977135;41.6620950676672;31.2025060056922;0;80.2930726179141
Bahrain;BHR;93.4783011354165;187.331592166054;;;20.5170747635921;23467871;185.261957188434
Bangladesh;BGD;14.4;1.31680583006092;79.9360115662315;12.9114828861951;0.517918790096822;;83.3609929687662
Barbados;BRB;76.11;457.400207589325;;;54.5623726007193;26483703;116.456682505339
Belarus;BLR;62.230360906803;62.8613476295596;44.0754228616144;44.280178975045;49.0371682952711;560689500;123.636003717629
Belgium;BEL;85.0529;976.898152984643;59.1211191737848;54.047314015449;40.1372264687402;38855955864;115.690785217498
Belize;BLZ;41.589999999835;411.926955330975;19.1643865231401;27.0269953522928;6.04146168850223;0;48.9070708116848
Benin;BEN;6.787702956098;3.86035479050268;;;1.78923784456887;1523076;85.6443226859836
Bermuda;BMU;98.3236096537251;7204.72139189086;45.7663839536173;27.7606571096155;18.2988197261277;1013119;57.9462624660709
Bhutan;BTN;39.8;16.7778738562007;1.66168956717163;43.5604138949402;2.80902711147115;;87.1193788226324
Bolivia;BOL;45.1;15.7580091946585;20.9322666587297;;7.99203811285424;24935819;92.1838515991895
Bosnia and Herzegovina;BIH;65.065502803344;42.7774815138295;41.4845964153237;25.4829842707217;20.2028230607558;96042566;90.1519602145099
Botswana;BWA;27.5;17.237683343757;19.9693639799626;52.6339769890967;7.80452934053697;35802081;169.003000432801
Brazil;BRA;59.079477910505;77.0564853674853;62.9045020315552;57.1088314140932;21.4464005472725;8848309553;126.592264521349
British Virgin Islands;VGB;;5312.61413819438;;;41.6666666666667;;145.833333333333
Brunei Darussalam;BRN;71.2;203.219372950084;5.38555585476804;58.1330097805075;8.9569444087936;75036399;108.131115254388
Bulgaria;BGR;56.6563;181.527115316807;34.3376705331231;;23.2618938591165;1107680340;129.271714964948
Burkina Faso;BFA;11.387646166247;0.662779465103833;;;0.419071010417466;5393895;80.6430332758849
Burundi;BDI;4.86622446359511;0.536724429844347;86.376426953316;;0.201375818384057;762143;46.2209571982514
Cabo Verde;CPV;43.019626357101;51.8729995273793;13.6757661626287;38.4480866271108;11.4999557361085;0;127.152257950287
Cambodia;KHM;19;5.13548072175843;;;1.63542792050473;60108587;133.000347833098
Cameroon;CMR;20.6801476606263;2.48455942699891;;;4.50977720851281;13383768;71.8454294848714
Canada;CAN;88.47;1308.77763538284;52.3107077382845;37.9080189963205;44.3307254998379;26295474480;81.9305877629189
Cayman Islands;CYM;77;2284.5898577551;;;55.9207564160288;;155.49218736972
Central African Republic;CAF;4.563264351542;;;;0.0208199651806902;;20.4452058074378
Chad;TCD;2.70000000055;0.213713694317609;;;0.125161468142772;;40.1730681243971
Channel Islands;CHI;;;;;;;
Chile;CHL;64.289;145.140379719549;31.5662613771434;36.408132716041;19.2248832881743;531985652;129.470390138128
China;CHN;50.3;10.1172678344832;44.1562818249787;19.0042448286848;16.4810364565919;554272928043;93.1614208936838
Colombia;COL;55.9049725142924;57.2895344647868;17.3497563514656;27.6225999774908;14.3536597637499;793475743;115.744774275413
Comoros;COM;7.459161385649;;;;3.11664835635757;;54.8010669326207
Congo, Dem. Rep.;ZAR;3.799999507273;0.349438505384731;44.7179757887794;25.3045865071184;0;;52.989071511097
Congo, Rep.;COG;7.61597466209;1.73147805459783;;;0.363936698991382;;111.664342467003
Costa Rica;CRI;59.7629501371681;103.580602556236;48.7866148863554;28.4707363387003;17.1845850285216;861602448;150.662050596432
Cote d'Ivoire;CIV;21;4.09663549053642;;;1.301922059363;37577573;119.310970447729
Croatia;HRV;69.8031;264.415998091092;19.3217857971817;48.662456889863;34.6974437499501;762004793;103.766672447592
Cuba;CUB;31.107970210145;0.526798133238135;;;11.5199750941946;;29.6507275498158
Curacao;CUW;;537.838521893192;49.7436376170507;47.2045996457096;38.1508302779349;;114.152727361169
Cyprus;CYP;71.7159;677.078863811894;4.10319408135428;16.8849203603069;27.7932849372583;26759530;95.4003408617707
Czech Republic;CZE;81.2986;866.819274625994;47.6654343666481;46.3321258712471;18.0921327337883;20792031147;129.21056392003
